Beef Monopolist Problem,,,,,,,,
Quantity,Daily Price,Total Revenue,MR,Prevailing wages,Total Wages,MC,Profits,Mprofits
1,98.5714285714,98.5714285714,93.7142857143,0.7142857143,0.7142857143,2.1428571429,97.8571428571,
2,96.1428571429,192.2857142857,88.8571428571,1.4285714286,2.8571428571,3.5714285714,189.4285714286,91.5714285714
3,93.7142857143,281.1428571429,84,2.1428571429,6.4285714286,5,274.7142857143,85.2857142857
4,91.2857142857,365.1428571429,79.1428571429,2.8571428571,11.4285714286,6.4285714286,353.7142857143,79
5,88.8571428571,444.2857142857,74.2857142857,3.5714285714,17.8571428571,7.8571428571,426.4285714286,72.7142857143
6,86.4285714286,518.5714285714,69.4285714286,4.2857142857,25.7142857143,9.2857142857,492.8571428571,66.4285714286
7,84,588,64.5714285714,5,35,10.7142857143,553,60.1428571429
8,81.5714285714,652.5714285714,59.7142857143,5.7142857143,45.7142857143,12.1428571429,606.8571428571,53.8571428571
9,79.1428571429,712.2857142857,54.8571428571,6.4285714286,57.8571428571,13.5714285714,654.4285714286,47.5714285714
10,76.7142857143,767.1428571429,50,7.1428571429,71.4285714286,15,695.7142857143,41.2857142857
11,74.2857142857,817.1428571429,45.1428571429,7.8571428571,86.4285714286,16.4285714286,730.7142857143,35
12,71.8571428571,862.2857142857,40.2857142857,8.5714285714,102.8571428571,17.8571428571,759.4285714286,28.7142857143
13,69.4285714286,902.5714285714,35.4285714286,9.2857142857,120.7142857143,19.2857142857,781.8571428571,22.4285714286
14,67,938,30.5714285714,10,140,20.7142857143,798,16.1428571429
15,64.5714285714,968.5714285714,25.7142857143,10.7142857143,160.7142857143,22.1428571429,807.8571428571,9.8571428571
16,62.1428571429,994.2857142857,20.8571428571,11.4285714286,182.8571428571,23.5714285714,811.4285714286,3.5714285714
17,59.7142857143,1015.1428571429,16,12.1428571429,206.4285714286,25,808.7142857143,-2.7142857143
18,57.2857142857,1031.1428571429,11.1428571429,12.8571428571,231.4285714286,26.4285714286,799.7142857143,-9
19,54.8571428571,1042.2857142857,6.2857142857,13.5714285714,257.8571428571,27.8571428571,784.4285714286,-15.2857142857
20,52.4285714286,1048.5714285714,1.4285714286,14.2857142857,285.7142857143,29.2857142857,762.8571428571,-21.5714285714
21,50,1050,-3.4285714286,15,315,30.7142857143,735,-27.8571428571
22,47.5714285714,1046.5714285714,-8.2857142857,15.7142857143,345.7142857143,32.1428571429,700.8571428571,-34.1428571429
23,45.1428571429,1038.2857142857,-13.1428571429,16.4285714286,377.8571428571,33.5714285714,660.4285714286,-40.4285714286
24,42.7142857143,1025.1428571429,-18,17.1428571429,411.4285714286,35,613.7142857143,-46.7142857143
25,40.2857142857,1007.1428571429,-22.8571428571,17.8571428571,446.4285714286,36.4285714286,560.7142857143,-53
26,37.8571428571,984.2857142857,-27.7142857143,18.5714285714,482.8571428571,37.8571428571,501.4285714286,-59.2857142857
27,35.4285714286,956.5714285714,-32.5714285714,19.2857142857,520.7142857143,39.2857142857,435.8571428571,-65.5714285714
28,33,924,-37.4285714286,20,560,40.7142857143,364,-71.8571428571
29,30.5714285714,886.5714285714,-42.2857142857,20.7142857143,600.7142857143,42.1428571429,285.8571428571,-78.1428571429
30,28.1428571429,844.2857142857,,21.4285714286,642.8571428571,,201.4285714286,-84.4285714286
