"2014/06/11 11:03:06","archhost","13.121"
"2014/06/11 12:14:19","archhost","12.661"
"2014/06/11 13:14:33","archhost","19.095"
"2014/06/11 13:16:50","archhost","11.743"
"2014/06/11 13:17:53","archhost","13.011"
"2014/06/13 14:25:52","archhost","16.679"
"2014/06/13 18:49:46","archhost","13.908"
"2014/06/13 20:38:41","archhost","13.123"
"2014/06/15 09:48:39","archhost","14.809"
"2014/06/15 14:23:30","archhost","14.746"
"2014/06/16 17:24:42","archhost","11.153"
"2014/06/17 11:57:29","archhost","12.823"
"2014/06/17 15:21:15","archhost","18.785"
"2014/06/18 11:47:44","archhost","9.911"
"2014/06/18 14:29:33","archhost","13.044"
"2014/06/21 10:49:05","archhost","12.16"
"2014/06/22 10:57:14","archhost","11.188"
"2014/06/23 16:57:23","archhost","12.868"
"2014/06/24 14:22:50","archhost","10.952"
"2014/06/27 10:51:23","archhost","13.499"
"2014/06/28 09:36:54","archhost","10.479"
"2014/07/01 11:05:41","archhost","12.843"
"2014/07/12 17:56:38","archhost","10.466"
"2014/07/13 08:45:45","archhost","10.639"
